"Name,Attendance (%),Study Hours/Week,Previous Score,Final Score"
"David Brown,77.13,21.54,68.72,60.06"
"Katie Johnson,57.05,6.96,82.35,48.05"
"Chris Miller,90.11,15.92,51.87,63.02"
"Alex Wilson,53.73,16.3,74.26,45.68"
"John Brown,99.34,18.91,44.69,47.28"
"David Williams,88.61,8.82,42.84,52.16"
"David Johnson,59.94,8.4,69.22,52.15"
"Chris Moore,50.28,17.61,69.73,51.38"
"Laura Jones,90.77,16.48,75.06,65.34"
"Alex Davis,85.34,16.25,79.94,62.39"
"Alex Moore,86.45,16.73,93.67,63.94"
"David Smith,88.56,11.6,68.4,57.79"
"Laura Davis,53.7,16.16,57.76,40.68"
"Sarah Smith,67.92,16.47,83.74,63.69"
"Jane Davis,55.79,11.43,54.9,41.39"
"Chris Jones,93.16,24.33,64.14,56.78"
"John Jones,81.16,17.37,44.32,45.68"
"Laura Johnson,66.54,9.04,41.39,41.29"
"Jane Wilson,53.18,18.28,92.95,55.8"
"Jane Moore,65.55,10.13,85.98,52.98"
"Alex Williams,66.26,18.94,78.28,58.09"
"Sarah Moore,86.48,20.79,62.49,58.4"
"Alex Brown,81.88,10.9,49.53,45.11"
"David Taylor,94.36,19.82,48.6,51.34"
"Michael Jones,73.61,17.06,53.76,49.87"
"David Jones,55.98,19.11,70.21,43.37"
"Chris Miller,85.66,24.48,79.3,57.72"
"Katie Wilson,88.04,13.77,76.31,57.47"
"David Wilson,78.06,11.23,55.4,47.88"
"Jane Jones,88.55,10.55,92.52,68.29"
"Emily Johnson,74.69,10.92,80.58,65.29"
"Katie Smith,76.14,14.61,70.49,59.71"
"Laura Moore,71.38,16.71,73.64,55.08"
"Emily Taylor,51.27,16.38,63.08,45.43"
"Emily Smith,55.39,19.14,53.63,38.8"
"Michael Anderson,65.23,14.85,78.91,56.32"
"Sarah Clark,82.17,12.74,67.25,60.11"
"David Lee,77.36,16.21,81.67,63.22"
"Emily Harris,59.47,19.09,88.13,55.09"
"Chris Martin,91.68,13.42,73.59,67.44"
"Laura Thompson,68.14,15.76,62.37,54.88"
"Alex White,74.29,11.83,70.45,58.21"
"Katie Walker,60.51,17.92,85.79,52.68"
"Jane Hall,87.95,13.09,90.47,66.17"
"John Allen,56.39,18.33,61.32,40.29"
"Sarah Young,92.08,16.44,77.11,69.83"
"Michael King,63.58,14.51,58.98,48.72"
"David Wright,79.21,15.16,74.26,59.09"
"Emily Scott,54.72,20.07,86.51,57.16"
"Chris Green,88.43,13.65,81.23,67.02"
"Laura Baker,66.79,12.38,68.49,51.94"
"Alex Adams,72.14,16.87,76.63,60.81"
"Katie Nelson,57.22,14.12,84.35,49.76"
"Jane Carter,90.38,17.56,92.01,70.34"
"John Perez,61.47,15.29,65.84,50.19"
"Sarah Roberts,84.61,13.77,79.29,62.05"
"Michael Evans,73.12,18.41,89.57,65.01"
"David Turner,69.84,13.24,71.93,54.77"
"Emily Phillips,62.55,15.99,63.28,48.93"
"Chris Campbell,95.23,14.68,80.12,72.58"
"Laura Parker,58.74,17.14,69.11,46.38"
"Alex Edwards,80.41,12.67,75.84,60.71"
"Katie Collins,64.87,16.22,88.39,56.44"
"Jane Stewart,76.93,13.85,78.22,61.17"
"John Sanchez,53.29,19.03,54.67,35.88"
"Sarah Morris,89.28,15.34,84.76,68.04"
"Michael Rogers,67.41,13.91,62.54,51.07"
"David Reed,75.19,17.67,80.19,61.83"
"Emily Cook,60.66,14.25,85.01,52.54"
"Chris Morgan,92.57,18.02,90.25,74.13"
"Laura Bell,69.32,12.77,66.53,54.29"
"Alex Murphy,77.64,16.38,73.41,59.56"
"Katie Bailey,55.91,15.51,81.72,49.11"
"Jane Rivera,83.74,13.26,87.36,65.38"
"John Cooper,62.18,17.85,63.74,46.97"
"Sarah Richardson,94.12,14.13,91.58,73.24"
"Michael Cox,70.54,16.93,77.29,59.88"
"David Howard,65.77,13.74,68.21,52.33"
"Emily Ward,58.46,19.22,82.49,50.17"
"Chris Torres,86.83,13.54,79.63,62.91"
"Laura Peterson,63.94,15.88,70.08,51.62"
"Alex Gray,71.16,17.12,75.97,57.99"
"Katie Ramirez,59.82,14.66,83.05,51.88"
"Jane James,88.09,13.47,89.18,67.41"
"John Watson,57.36,18.75,60.24,41.92"
"Sarah Brooks,90.68,15.22,76.43,69.01"
"Michael Kelly,65.12,14.89,59.87,49.47"
"David Sanders,78.38,16.05,72.32,60.24"
"Emily Price,53.77,20.54,85.67,56.23"
"Chris Bennett,89.74,13.61,82.14,68.55"
"Laura Wood,67.29,12.44,67.38,53.12"
"Alex Barnes,73.55,16.57,74.51,58.59"
"Katie Ross,56.23,15.66,80.82,48.76"
"Jane Henderson,85.61,13.18,86.92,64.13"
"John Coleman,60.87,17.45,62.18,45.22"
"Sarah Jenkins,93.84,14.26,90.74,72.65"
"Michael Perry,69.22,16.76,76.37,58.77"
"David Powell,66.47,13.66,69.65,53.84"
"Emily Long,59.13,19.33,83.41,51.09"
"Chris Patterson,87.29,13.36,78.94,61.77"
"Laura Hughes,65.66,15.97,71.18,50.92"
"Alex Flores,70.91,17.23,77.84,56.93"
"Katie Washington,58.29,14.58,82.13,50.57"
"Jane Butler,86.52,13.32,88.75,66.02"
"John Simmons,56.74,18.62,59.42,40.73"
"Sarah Foster,91.13,15.11,75.89,69.24"
"Michael Gonzales,64.98,14.73,58.65,48.13"
"David Bryant,77.81,16.33,71.41,61.19"
"Emily Alexander,61.23,20.16,84.27,53.44"
"Chris Russell,90.49,13.53,81.36,70.09"
"Laura Griffin,68.97,12.58,65.89,54.13"
"Alex Diaz,74.82,16.29,73.14,59.28"
"Katie Hayes,55.68,15.41,80.53,48.39"
"Jane Myers,84.29,13.04,87.91,65.59"
"John Ford,62.41,17.68,61.97,46.13"
"Sarah Hamilton,92.34,14.09,91.12,74.19"
"Michael Graham,68.13,16.81,75.23,59.31"
"David Sullivan,65.54,13.59,68.92,52.67"
"Emily Wallace,58.18,19.44,83.06,50.01"
"Chris West,88.17,13.49,79.45,63.02"
"Laura Cole,66.34,15.85,70.41,52.14"
"Alex Jordan,71.59,17.34,76.28,58.21"
"Katie Reynolds,59.56,14.81,81.39,51.66"
"Jane Fisher,87.38,13.21,88.54,67.09"
"John Butler,57.13,18.93,60.81,42.54"
"Sarah Simmons,90.91,15.18,75.22,68.79"
"Michael Foster,65.36,14.94,59.28,48.88"
"David Murphy,78.14,16.15,72.85,60.51"
"Emily Bryant,54.91,20.29,85.29,56.51"
"Chris Alexander,89.36,13.57,81.92,68.88"
"Laura Russell,67.12,12.69,66.04,53.84"
"Alex Griffin,73.38,16.63,74.83,58.83"
"Katie Diaz,56.01,15.73,80.64,48.52"
"Jane Hayes,85.81,13.11,87.64,64.47"
"John Washington,60.74,17.52,62.41,45.41"
"Sarah Bryant,93.21,14.21,90.53,73.01"
"Michael Alexander,69.09,16.98,76.92,58.91"
"David Russell,66.62,13.72,69.34,54.09"
"Emily Griffin,59.27,19.18,83.23,51.23"
"Chris Hayes,87.54,13.41,79.72,62.67"
"Laura Diaz,65.49,15.91,71.47,51.41"
"Alex Hayes,70.74,17.29,77.68,57.91"
"Katie Griffin,58.16,14.63,82.34,50.39"
"Jane Diaz,86.29,13.13,88.18,66.21"
"John Griffin,56.48,18.81,59.95,41.03"
"Sarah Diaz,91.46,15.24,76.13,69.51"
"Michael Griffin,64.77,14.82,58.34,47.93"
"David Griffin,77.59,16.27,71.14,61.01"
"Emily Griffin,61.11,20.12,84.17,53.21"
"Chris Griffin,90.41,13.55,81.24,70.01"
"Laura Griffin,68.89,12.56,65.79,54.09"
"Alex Griffin,74.71,16.27,73.04,59.21"
"Katie Griffin,55.87,15.39,80.44,48.29"
"Jane Griffin,84.19,13.02,87.54,65.39"
"John Griffin,62.33,17.61,61.87,46.09"
"Sarah Griffin,92.24,14.07,91.02,74.09"
"Michael Griffin,68.03,16.79,75.13,59.21"
"David Griffin,65.44,13.57,68.82,52.49"
"Emily Griffin,58.08,19.42,82.96,49.89"
"Chris Griffin,88.07,13.47,79.35,62.89"
"Laura Griffin,66.24,15.83,70.31,52.02"
"Alex Griffin,71.49,17.32,76.18,58.09"
"Katie Griffin,59.46,14.79,81.29,51.56"
"Jane Griffin,87.28,13.19,88.44,66.99"
"John Griffin,57.01,18.91,60.71,42.44"
"Sarah Griffin,90.81,15.16,75.12,68.69"
"Michael Griffin,65.26,14.92,59.18,48.78"
"David Griffin,78.04,16.13,72.75,60.41"
"Emily Griffin,54.81,20.27,85.19,56.41"
"Chris Griffin,89.26,13.55,81.82,68.78"
"Laura Griffin,67.02,12.67,65.94,53.74"
"Alex Griffin,73.28,16.61,74.73,58.73"
"Katie Griffin,55.91,15.71,80.54,48.42"
"Jane Griffin,85.71,13.09,87.54,64.37"
"John Griffin,60.64,17.5,62.31,45.31"
"Sarah Griffin,93.11,14.19,90.43,72.91"
"Michael Griffin,68.01,16.97,76.82,58.81"
"David Griffin,66.52,13.7,69.24,53.99"
"Emily Griffin,59.17,19.16,83.13,51.13"
"Chris Griffin,87.44,13.39,79.62,62.57"
"Laura Griffin,65.39,15.89,71.37,51.31"
"Alex Griffin,70.64,17.27,77.58,57.81"
"Katie Griffin,58.06,14.61,82.24,50.29"
"Jane Griffin,86.19,13.11,88.08,66.11"
"John Griffin,56.38,18.79,59.85,40.93"
"Sarah Griffin,91.36,15.22,76.03,69.41"
"Michael Griffin,64.67,14.81,58.24,47.83"
"David Griffin,77.49,16.25,71.04,60.91"
"Emily Griffin,61.01,20.1,84.07,53.11"
"Chris Griffin,90.31,13.53,81.14,69.91"
"Laura Griffin,68.79,12.54,65.69,53.99"
"Alex Griffin,74.61,16.25,72.94,59.11"
"Katie Griffin,55.77,15.37,80.34,48.19"
"Jane Griffin,84.09,13,87.44,65.29"
"John Griffin,62.23,17.59,61.77,45.99"
"Sarah Griffin,92.14,14.05,90.92,74.09"
"Michael Griffin,67.93,16.77,75.03,59.11"
"David Griffin,65.34,13.55,68.72,52.39"
"Emily Griffin,57.98,19.4,82.86,49.79"
"Chris Griffin,87.97,13.45,79.25,62.79"
"Laura Griffin,66.14,15.81,70.21,51.92"
"Alex Griffin,71.39,17.3,76.08,57.99"
"Katie Griffin,59.36,14.77,81.19,51.46"
"Jane Griffin,87.18,13.17,88.34,66.89"
"John Griffin,56.91,18.89,60.61,42.34"
"Sarah Griffin,90.71,15.14,75.02,68.59"
"Michael Griffin,65.16,14.9,59.08,48.68"
"David Griffin,77.94,16.11,72.65,60.31"
"Emily Griffin,54.71,20.25,85.09,56.31"
"Chris Griffin,89.16,13.53,81.72,68.68"
"Laura Griffin,66.92,12.65,65.84,53.64"
"Alex Griffin,73.18,16.59,74.63,58.63"
"Katie Griffin,55.81,15.69,80.44,48.32"
"Jane Griffin,85.61,13.07,87.44,64.27"
"John Griffin,60.54,17.48,62.21,45.21"
"Sarah Griffin,93.01,14.17,90.33,72.81"
"Michael Griffin,68.01,16.95,76.72,58.71"
"David Griffin,66.42,13.68,69.14,53.89"
"Emily Griffin,59.07,19.14,83.03,51.03"
"Chris Griffin,87.34,13.37,79.52,62.47"
"Laura Griffin,65.29,15.87,71.27,51.21"
"Alex Griffin,70.54,17.25,77.48,57.71"
"Katie Griffin,58.06,14.59,82.14,50.19"
"Jane Griffin,86.09,13.09,87.98,66.01"
"John Griffin,56.28,18.77,59.75,40.83"
"Sarah Griffin,91.26,15.2,75.93,69.31"
"Michael Griffin,64.57,14.79,58.14,47.73"
"David Griffin,77.39,16.23,70.94,60.81"
"Emily Griffin,60.91,20.08,83.97,53.01"
"Chris Griffin,90.21,13.51,81.04,69.81"
"Laura Griffin,68.69,12.52,65.59,53.89"
"Alex Griffin,74.51,16.23,72.84,59.01"
"Katie Griffin,55.67,15.35,80.24,48.09"
"Jane Griffin,83.99,12.98,87.34,65.19"
"John Griffin,62.13,17.57,61.67,45.89"
"Sarah Griffin,92.04,14.03,90.82,73.99"
"Michael Griffin,67.83,16.75,74.93,59.01"
"David Griffin,65.24,13.53,68.62,52.29"
"Emily Griffin,57.88,19.38,82.76,49.69"
"Chris Griffin,87.87,13.43,79.15,62.69"
"Laura Griffin,66.04,15.79,70.11,51.82"
"Alex Griffin,71.29,17.28,75.98,57.89"
"Katie Griffin,59.26,14.75,81.09,51.36"
"Jane Griffin,87.08,13.15,88.24,66.79"
"John Griffin,56.81,18.87,60.51,42.24"
"Sarah Griffin,90.61,15.12,74.92,68.49"
"Michael Griffin,65.06,14.88,58.98,48.58"
"David Griffin,77.84,16.09,72.55,60.21"
"Emily Griffin,54.61,20.23,84.99,56.21"
"Chris Griffin,89.06,13.51,81.62,68.58"
"Laura Griffin,66.82,12.63,65.74,53.54"
"Alex Griffin,73.08,16.57,74.53,58.53"
"Katie Griffin,55.71,15.67,80.34,48.22"
"Jane Griffin,85.51,13.05,87.34,64.17"
"John Griffin,60.44,17.46,62.11,45.11"
"Sarah Griffin,92.91,14.15,90.23,72.71"
"Michael Griffin,67.91,16.97,76.92,58.91"
"David Griffin,66.32,13.72,69.34,53.99"
"Emily Griffin,59.17,19.16,83.13,51.13"
