Name,Attendance (%),Study Hours/Week,Previous Score,Final Score,Extracurricular Activities
John Johnson,64.05,16.14,46.99,43.34,High
David Brown,77.13,21.54,68.72,60.06,Moderate
Katie Johnson,57.05,6.96,82.35,48.05,High
Chris Miller,90.11,15.92,51.87,63.02,Low
Alex Wilson,53.73,16.3,74.26,45.68,High
John Brown,99.34,18.91,44.69,47.28,Moderate
David Williams,88.61,8.82,42.84,52.16,Moderate
David Johnson,59.94,8.4,69.22,52.15,Moderate
Chris Moore,50.28,17.61,69.73,51.38,Low
Laura Jones,90.77,16.48,75.06,65.34,Low
Alex Davis,85.34,16.25,79.94,62.39,Low
Alex Moore,86.45,16.73,93.67,63.94,High
David Smith,88.56,11.6,68.4,57.79,High
Laura Davis,53.7,16.16,57.76,40.68,Moderate
Sarah Smith,67.92,16.47,83.74,63.69,Moderate
Jane Davis,55.79,11.43,54.9,41.39,Low
Chris Jones,93.16,24.33,64.14,56.78,Moderate
John Jones,81.16,17.37,44.32,45.68,Low
Laura Johnson,66.54,9.04,41.39,41.29,High
Jane Wilson,53.18,18.28,92.95,55.8,Moderate
Jane Moore,65.55,10.13,85.98,52.98,High
Alex Williams,66.26,18.94,78.28,58.09,High
Sarah Moore,86.48,20.79,62.49,58.4,Low
Alex Brown,81.88,10.9,49.53,45.11,Low
David Taylor,94.36,19.82,48.6,51.34,Moderate
Michael Jones,73.61,17.06,53.76,49.87,High
David Jones,55.98,19.11,70.21,43.37,Low
Chris Miller,85.66,24.48,79.3,57.72,High
Katie Wilson,88.04,13.77,76.31,57.47,High
David Wilson,78.06,11.23,55.4,47.88,High
Jane Jones,88.55,10.55,92.52,68.29,Moderate
Emily Johnson,74.69,10.92,80.58,65.29,Moderate
Katie Smith,76.14,14.61,70.49,59.71,High
Laura Moore,71.38,16.71,73.64,55.08,Moderate
Emily Taylor,51.27,16.38,63.08,45.43,High
Emily Smith,55.39,19.14,53.63,38.8,High
Michael Anderson,65.23,14.85,78.91,56.32,High
Sarah Clark,82.17,12.74,67.25,60.11,High
David Lee,77.36,16.21,81.67,63.22,High
Emily Harris,59.47,19.09,88.13,55.09,Low
Chris Martin,91.68,13.42,73.59,67.44,High
Laura Thompson,68.14,15.76,62.37,54.88,Moderate
Alex White,74.29,11.83,70.45,58.21,High
Katie Walker,60.51,17.92,85.79,52.68,High
Jane Hall,87.95,13.09,90.47,66.17,Low
John Allen,56.39,18.33,61.32,40.29,Low
Sarah Young,92.08,16.44,77.11,69.83,Low
Michael King,63.58,14.51,58.98,48.72,Low
David Wright,79.21,15.16,74.26,59.09,Moderate
Emily Scott,54.72,20.07,86.51,57.16,Low
Chris Green,88.43,13.65,81.23,67.02,High
Laura Baker,66.79,12.38,68.49,51.94,Moderate
Alex Adams,72.14,16.87,76.63,60.81,Low
Katie Nelson,57.22,14.12,84.35,49.76,Low
Jane Carter,90.38,17.56,92.01,70.34,Moderate
John Perez,61.47,15.29,65.84,50.19,Low
Sarah Roberts,84.61,13.77,79.29,62.05,Moderate
Michael Evans,73.12,18.41,89.57,65.01,High
David Turner,69.84,13.24,71.93,54.77,Low
Emily Phillips,62.55,15.99,63.28,48.93,High
Chris Campbell,95.23,14.68,80.12,72.58,Low
Laura Parker,58.74,17.14,69.11,46.38,High
Alex Edwards,80.41,12.67,75.84,60.71,Low
Katie Collins,64.87,16.22,88.39,56.44,Low
Jane Stewart,76.93,13.85,78.22,61.17,Moderate
John Sanchez,53.29,19.03,54.67,35.88,Moderate
Sarah Morris,89.28,15.34,84.76,68.04,Low
Michael Rogers,67.41,13.91,62.54,51.07,Low
David Reed,75.19,17.67,80.19,61.83,High
Emily Cook,60.66,14.25,85.01,52.54,High
Chris Morgan,92.57,18.02,90.25,74.13,Moderate
Laura Bell,69.32,12.77,66.53,54.29,Moderate
Alex Murphy,77.64,16.38,73.41,59.56,Moderate
Katie Bailey,55.91,15.51,81.72,49.11,Moderate
Jane Rivera,83.74,13.26,87.36,65.38,High
John Cooper,62.18,17.85,63.74,46.97,High
Sarah Richardson,94.12,14.13,91.58,73.24,Moderate
Michael Cox,70.54,16.93,77.29,59.88,Low
David Howard,65.77,13.74,68.21,52.33,Moderate
Emily Ward,58.46,19.22,82.49,50.17,Moderate
Chris Torres,86.83,13.54,79.63,62.91,High
Laura Peterson,63.94,15.88,70.08,51.62,Moderate
Alex Gray,71.16,17.12,75.97,57.99,Low
Katie Ramirez,59.82,14.66,83.05,51.88,Moderate
Jane James,88.09,13.47,89.18,67.41,Moderate
John Watson,57.36,18.75,60.24,41.92,Low
Sarah Brooks,90.68,15.22,76.43,69.01,Low
Michael Kelly,65.12,14.89,59.87,49.47,Moderate
David Sanders,78.38,16.05,72.32,60.24,Moderate
Emily Price,53.77,20.54,85.67,56.23,Moderate
Chris Bennett,89.74,13.61,82.14,68.55,Low
Laura Wood,67.29,12.44,67.38,53.12,Low
Alex Barnes,73.55,16.57,74.51,58.59,Moderate
Katie Ross,56.23,15.66,80.82,48.76,High
Jane Henderson,85.61,13.18,86.92,64.13,Moderate
John Coleman,60.87,17.45,62.18,45.22,Low
Sarah Jenkins,93.84,14.26,90.74,72.65,Low
Michael Perry,69.22,16.76,76.37,58.77,High
David Powell,66.47,13.66,69.65,53.84,Moderate
Emily Long,59.13,19.33,83.41,51.09,High
Chris Patterson,87.29,13.36,78.94,61.77,High
Laura Hughes,65.66,15.97,71.18,50.92,High
Alex Flores,70.91,17.23,77.84,56.93,Low
Katie Washington,58.29,14.58,82.13,50.57,Moderate
Jane Butler,86.52,13.32,88.75,66.02,Moderate
John Simmons,56.74,18.62,59.42,40.73,High
Sarah Foster,91.13,15.11,75.89,69.24,High
Michael Gonzales,64.98,14.73,58.65,48.13,High
David Bryant,77.81,16.33,71.41,61.19,Low
Emily Alexander,61.23,20.16,84.27,53.44,Moderate
Chris Russell,90.49,13.53,81.36,70.09,Moderate
Laura Griffin,68.97,12.58,65.89,54.13,Moderate
Alex Diaz,74.82,16.29,73.14,59.28,High
Katie Hayes,55.68,15.41,80.53,48.39,Low
Jane Myers,84.29,13.04,87.91,65.59,Moderate
John Ford,62.41,17.68,61.97,46.13,Moderate
Sarah Hamilton,92.34,14.09,91.12,74.19,Low
Michael Graham,68.13,16.81,75.23,59.31,Moderate
David Sullivan,65.54,13.59,68.92,52.67,Low
Emily Wallace,58.18,19.44,83.06,50.01,Moderate
Chris West,88.17,13.49,79.45,63.02,Moderate
Laura Cole,66.34,15.85,70.41,52.14,Moderate
Alex Jordan,71.59,17.34,76.28,58.21,Low
Katie Reynolds,59.56,14.81,81.39,51.66,Low
Jane Fisher,87.38,13.21,88.54,67.09,Moderate
John Butler,57.13,18.93,60.81,42.54,Moderate
Sarah Simmons,90.91,15.18,75.22,68.79,High
Michael Foster,65.36,14.94,59.28,48.88,High
David Murphy,78.14,16.15,72.85,60.51,Moderate
Emily Bryant,54.91,20.29,85.29,56.51,High
Chris Alexander,89.36,13.57,81.92,68.88,Low
Laura Russell,67.12,12.69,66.04,53.84,High
Alex Griffin,73.38,16.63,74.83,58.83,Low
Katie Diaz,56.01,15.73,80.64,48.52,Moderate
Jane Hayes,85.81,13.11,87.64,64.47,Low
John Washington,60.74,17.52,62.41,45.41,Moderate
Sarah Bryant,93.21,14.21,90.53,73.01,Moderate
Michael Alexander,69.09,16.98,76.92,58.91,Moderate
David Russell,66.62,13.72,69.34,54.09,Moderate
Emily Griffin,59.27,19.18,83.23,51.23,Low
Chris Hayes,87.54,13.41,79.72,62.67,Low
Laura Diaz,65.49,15.91,71.47,51.41,High
Alex Hayes,70.74,17.29,77.68,57.91,Moderate
Katie Griffin,58.16,14.63,82.34,50.39,Low
Jane Diaz,86.29,13.13,88.18,66.21,Moderate
John Griffin,56.48,18.81,59.95,41.03,High
Sarah Diaz,91.46,15.24,76.13,69.51,Moderate
Michael Griffin,64.77,14.82,58.34,47.93,Low
David Griffin,77.59,16.27,71.14,61.01,High
Emily Griffin,61.11,20.12,84.17,53.21,High
Chris Griffin,90.41,13.55,81.24,70.01,Moderate
Laura Griffin,68.89,12.56,65.79,54.09,High
Alex Griffin,74.71,16.27,73.04,59.21,Low
Katie Griffin,55.87,15.39,80.44,48.29,Moderate
Jane Griffin,84.19,13.02,87.54,65.39,Moderate
John Griffin,62.33,17.61,61.87,46.09,High
Sarah Griffin,92.24,14.07,91.02,74.09,Low
Michael Griffin,68.03,16.79,75.13,59.21,High
David Griffin,65.44,13.57,68.82,52.49,High
Emily Griffin,58.08,19.42,82.96,49.89,Moderate
Chris Griffin,88.07,13.47,79.35,62.89,Low
Laura Griffin,66.24,15.83,70.31,52.02,Low
Alex Griffin,71.49,17.32,76.18,58.09,Low
Katie Griffin,59.46,14.79,81.29,51.56,Low
Jane Griffin,87.28,13.19,88.44,66.99,High
John Griffin,57.01,18.91,60.71,42.44,Moderate
Sarah Griffin,90.81,15.16,75.12,68.69,High
Michael Griffin,65.26,14.92,59.18,48.78,High
David Griffin,78.04,16.13,72.75,60.41,High
Emily Griffin,54.81,20.27,85.19,56.41,High
Chris Griffin,89.26,13.55,81.82,68.78,Moderate
Laura Griffin,67.02,12.67,65.94,53.74,Moderate
Alex Griffin,73.28,16.61,74.73,58.73,Low
Katie Griffin,55.91,15.71,80.54,48.42,High
Jane Griffin,85.71,13.09,87.54,64.37,High
John Griffin,60.64,17.5,62.31,45.31,Moderate
Sarah Griffin,93.11,14.19,90.43,72.91,High
Michael Griffin,68.01,16.97,76.82,58.81,High
David Griffin,66.52,13.7,69.24,53.99,Moderate
Emily Griffin,59.17,19.16,83.13,51.13,High
Chris Griffin,87.44,13.39,79.62,62.57,High
Laura Griffin,65.39,15.89,71.37,51.31,High
Alex Griffin,70.64,17.27,77.58,57.81,Moderate
Katie Griffin,58.06,14.61,82.24,50.29,High
Jane Griffin,86.19,13.11,88.08,66.11,Moderate
John Griffin,56.38,18.79,59.85,40.93,Low
Sarah Griffin,91.36,15.22,76.03,69.41,Moderate
Michael Griffin,64.67,14.81,58.24,47.83,Moderate
David Griffin,77.49,16.25,71.04,60.91,Low
Emily Griffin,61.01,20.1,84.07,53.11,Low
Chris Griffin,90.31,13.53,81.14,69.91,High
Laura Griffin,68.79,12.54,65.69,53.99,Low
Alex Griffin,74.61,16.25,72.94,59.11,High
Katie Griffin,55.77,15.37,80.34,48.19,Moderate
Jane Griffin,84.09,13,87.44,65.29,High
John Griffin,62.23,17.59,61.77,45.99,High
Sarah Griffin,92.14,14.05,90.92,74.09,Moderate
Michael Griffin,67.93,16.77,75.03,59.11,High
David Griffin,65.34,13.55,68.72,52.39,High
Emily Griffin,57.98,19.4,82.86,49.79,High
Chris Griffin,87.97,13.45,79.25,62.79,Low
Laura Griffin,66.14,15.81,70.21,51.92,Low
Alex Griffin,71.39,17.3,76.08,57.99,High
Katie Griffin,59.36,14.77,81.19,51.46,Low
Jane Griffin,87.18,13.17,88.34,66.89,High
John Griffin,56.91,18.89,60.61,42.34,Moderate
Sarah Griffin,90.71,15.14,75.02,68.59,High
Michael Griffin,65.16,14.9,59.08,48.68,Moderate
David Griffin,77.94,16.11,72.65,60.31,Low
Emily Griffin,54.71,20.25,85.09,56.31,Moderate
Chris Griffin,89.16,13.53,81.72,68.68,Low
Laura Griffin,66.92,12.65,65.84,53.64,High
Alex Griffin,73.18,16.59,74.63,58.63,Low
Katie Griffin,55.81,15.69,80.44,48.32,Moderate
Jane Griffin,85.61,13.07,87.44,64.27,High
John Griffin,60.54,17.48,62.21,45.21,Moderate
Sarah Griffin,93.01,14.17,90.33,72.81,Low
Michael Griffin,68.01,16.95,76.72,58.71,Moderate
David Griffin,66.42,13.68,69.14,53.89,Moderate
Emily Griffin,59.07,19.14,83.03,51.03,Low
Chris Griffin,87.34,13.37,79.52,62.47,Moderate
Laura Griffin,65.29,15.87,71.27,51.21,Moderate
Alex Griffin,70.54,17.25,77.48,57.71,Low
Katie Griffin,58.06,14.59,82.14,50.19,High
Jane Griffin,86.09,13.09,87.98,66.01,Moderate
John Griffin,56.28,18.77,59.75,40.83,Low
Sarah Griffin,91.26,15.2,75.93,69.31,Moderate
Michael Griffin,64.57,14.79,58.14,47.73,High
David Griffin,77.39,16.23,70.94,60.81,Moderate
Emily Griffin,60.91,20.08,83.97,53.01,Moderate
Chris Griffin,90.21,13.51,81.04,69.81,High
Laura Griffin,68.69,12.52,65.59,53.89,Low
Alex Griffin,74.51,16.23,72.84,59.01,Moderate
Katie Griffin,55.67,15.35,80.24,48.09,Moderate
Jane Griffin,83.99,12.98,87.34,65.19,High
John Griffin,62.13,17.57,61.67,45.89,Low
Sarah Griffin,92.04,14.03,90.82,73.99,Low
Michael Griffin,67.83,16.75,74.93,59.01,Moderate
David Griffin,65.24,13.53,68.62,52.29,Moderate
Emily Griffin,57.88,19.38,82.76,49.69,Moderate
Chris Griffin,87.87,13.43,79.15,62.69,Moderate
Laura Griffin,66.04,15.79,70.11,51.82,High
Alex Griffin,71.29,17.28,75.98,57.89,High
Katie Griffin,59.26,14.75,81.09,51.36,Low
Jane Griffin,87.08,13.15,88.24,66.79,Moderate
John Griffin,56.81,18.87,60.51,42.24,Low
Sarah Griffin,90.61,15.12,74.92,68.49,Moderate
Michael Griffin,65.06,14.88,58.98,48.58,Moderate
David Griffin,77.84,16.09,72.55,60.21,Low
Emily Griffin,54.61,20.23,84.99,56.21,Low
Chris Griffin,89.06,13.51,81.62,68.58,Low
Laura Griffin,66.82,12.63,65.74,53.54,High
Alex Griffin,73.08,16.57,74.53,58.53,Moderate
Katie Griffin,55.71,15.67,80.34,48.22,Moderate
Jane Griffin,85.51,13.05,87.34,64.17,Low
John Griffin,60.44,17.46,62.11,45.11,High
Sarah Griffin,92.91,14.15,90.23,72.71,Moderate
Michael Griffin,67.91,16.97,76.92,58.91,Moderate
David Griffin,66.32,13.72,69.34,53.99,Low
Emily Griffin,59.17,19.16,83.13,51.13,Moderate
